de,en,type,example,example_en
Der Start,"start, take-off",noun,Der Start des Rennens war spannend.,The start of the race was exciting.
Der Stein,"stone, rock",noun,Der Junge wirft einen Stein ins Wasser.,The boy throws a stone into the water.
Der Stern,"star, asterisk",noun,Der Stern leuchtet am Himmel.,The star shines in the sky.
Der Stift,"pencil, apprentice",noun,Ich habe einen neuen Stift.,I have a new pencil.
Der Stock,"stick, floor",noun,Der alte Mann braucht einen Stock.,The old man needs a stick.
Der Stoff,"fabric, cloth",noun,Der Stoff fühlt sich weich an.,The fabric feels soft.
Der Strand,"beach, shore",noun,Wir gehen an den Strand.,We go to the beach.
Der Strauß,"ostrich, bouquet",noun,No examples available.,
Der Strom,"stream, current",noun,Der Strom fließt schnell.,The stream flows quickly.
Der Sturm,"storm, assault",noun,Der Sturm hat Bäume umgeworfen.,The storm knocked down trees.
Der Säugling,"baby, infant",noun,No examples available.,
Der Tag,"day, diet",noun,Heute ist ein schöner Tag.,Today is a beautiful day.
Der Takt,"bar, tact",noun,Der Takt ist schnell.,The beat is fast.
Der Tee,"tea, tea plant",noun,Ich trinke gern Tee.,I like to drink tea.
Der Tisch,table,noun,Der Tisch ist rund.,The table is round.
Der Tod,death,noun,Der Tod kam unerwartet.,The death was unexpected.
Der Traum,dream,noun,Ich hatte einen schönen Traum.,I had a beautiful dream.
Der Tropfen,"drop, dripping",noun,Ein Tropfen Wasser.,A drop of water.
Der Umschlag,"cover, envelope",noun,Der Umschlag ist leer.,The envelope is empty.
Der Umzug,"move, procession",noun,Der Umzug in die neue Wohnung war stressig.,The move to the new apartment was stressful.
Der Untergang,"sinking, fall",noun,Der Untergang des Schiffes war tragisch.,The sinking of the ship was tragic.
Der Vater,"father, dad",noun,Mein Vater ist Arzt.,My father is a doctor.
Der Verteidiger,"back, defence",noun,Der Verteidiger hilft seinem Team.,The defender helps his team.
Der Vogel,"bird, fowl",noun,Ein Vogel fliegt über den Baum.,A bird flies over the tree.
Der Vorsprung,"protrusion, lead",noun,Der Vorsprung ist groß.,The protrusion is large.
Der Wagen,"car, cart",noun,Ich fahre einen neuen Wagen.,I’m driving a new car.
Der Wald,"forest, wood",noun,Wir gehen im Wald spazieren.,We walk in the forest.
Der Wechsel,"change, bill of exchange",noun,Es gibt einen Wechsel im Wetter.,There is a change in the weather.
Der Weg,"way, route",noun,Welcher Weg führt zum Bahnhof?,Which way leads to the train station?
Der Wein,"wine, grape",noun,Ich trinke gern Wein.,I like to drink wine.
Der Wert,"value, worth",noun,Das hat einen hohen Wert.,It has a high value.
Der Wind,"wind, flatulence",noun,Der Wind weht stark.,The wind is blowing strongly.
Der Wirt,"host, innkeeper",noun,Der Wirt begrüßt die Gäste.,The host welcomes the guests.
Der Wolf,"wolf, Lupus",noun,No examples available.,
Der Würfel,"die, cube",noun,Wirf den Würfel.,Roll the die.
Der Zahn,"tooth, cog",noun,Der Zahn tut weh.,The tooth hurts.
Der Zosse,"caple, horse",noun,Der Zosse ist schnell.,The caple is fast.
Der Zucker,"sugar, diabetes",noun,Ich nehme Zucker in meinen Kaffee.,I take sugar in my coffee.
Der Zug,"train, move",noun,Der Zug kommt pünktlich.,The train arrives on time.
Der Zustand,"state, condition",noun,Das Auto ist in gutem Zustand.,The car is in good condition.
Der Zweck,"purpose, point",noun,Was ist der Zweck dieses Besuchs?,What is the purpose of this visit?
Der Zwerg,"dwarf, gnome",noun,Der Zwerg ist klein.,The dwarf is small.
Die Abfahrt,"departure, downhill",noun,Die Abfahrt ist in fünf Minuten.,The departure is in five minutes.
Die Abgabe,"tax, duty",noun,Die Abgabe muss bezahlt werden.,The tax must be paid.
Die Abteilung,"department, unit",noun,Ich arbeite in der Marketing,Abteilung. - I work in the marketing department.
Die Acht,"eight, attention",noun,Die Zahl acht kommt nach sieben.,The number eight comes after seven.
Die Achtung,"attention, respect",noun,"Achtung, Gefahr!","Attention, danger!"
Die Ameise,"ant, pismire",noun,Die Ameise trägt ein Blatt.,The ant carries a leaf.
Die Anordnung,"arrangement, order",noun,Die Anordnung der Möbel gefällt mir.,I like the arrangement of the furniture.
Die Antwort,"answer, reply",noun,Ich habe keine Antwort.,I have no answer.
Die Anzahl,"number, amount",noun,Die Anzahl der Gäste ist groß.,The number of guests is large.
Die Arbeit,"work, labour",noun,Ich gehe zur Arbeit.,I am going to work.
Die Art,"kind, species",noun,Diese Art von Musik gefällt mir.,I like this kind of music.
Die Aubergine,"eggplant, aubergine",noun,Die Aubergine ist lila.,The eggplant is purple.
Die Aufnahme,"reception, absorption",noun,Die Aufnahme im Krankenhaus war schnell.,The reception at the hospital was quick.
Die Bahn,"track, orbit",noun,Die Bahn ist schnell.,The train is fast.
Die Banane,"banana, plantain",noun,Ich esse eine Banane.,I am eating a banana.
Die Bank,"bank, bench",noun,Ich sitze auf der Bank im Park.,I am sitting on the bench in the park.
Die Basis,"base, basis",noun,Die Basis des Turms ist sehr stabil.,The base of the tower is very stable.
Die Baumwolle,cotton,noun,Das T,Shirt ist aus Baumwolle. - The T-shirt is made of cotton.
Die Bedeutung,"meaning, importance",noun,Was ist die Bedeutung dieses Wortes?,What is the meaning of this word?
Die Bestellung,order,noun,Die Bestellung ist angekommen.,The order has arrived.
Die Biene,"bee, honeybee",noun,Die Biene summt um die Blume.,The bee buzzes around the flower.
Die Birne,"pear, nut",noun,Ich esse eine Birne.,I am eating a pear.
Die Blume,"flower, blossom",noun,Die Blume ist schön.,The flower is beautiful.
Die Blüte,"flower, blossom",noun,Die Blüte ist schön.,The flower is beautiful.
Die Braut,"bride, bird",noun,Die Braut trägt ein weißes Kleid.,The bride wears a white dress.
Die Brust,"breast, chest",noun,Sie hat Schmerzen in der Brust.,She has pain in her chest.
Die Brücke,"bridge, link",noun,Die Brücke führt über den Fluss.,The bridge crosses the river.
Die Büchse,"rifle, tin",noun,Er nimmt die Büchse zur Jagd.,He takes the rifle hunting.
Die Dame,"queen, lady",noun,Die Dame trägt ein schönes Kleid.,The lady is wearing a beautiful dress.
Die Deern,"girl, maid",noun,Die Deern spielt im Garten.,The girl is playing in the garden.
Die Ebene,"plain, plane",noun,Die Ebene ist sehr weit.,The plain is very wide.
Die Ecke,"corner, angle",noun,Die Lampe steht in der Ecke.,The lamp is in the corner.
Die Ehe,"marriage, matrimony",noun,Die Ehe ist eine wichtige Institution.,Marriage is an important institution.
Die Ehefrau,wife,noun,Meine Ehefrau ist Ärztin.,My wife is a doctor.
Die Ente,"duck, drake",noun,Die Ente schwimmt auf dem Teich.,The duck is swimming on the pond.
Die Erde,"soil, earth",noun,Die Pflanze wächst in der Erde.,The plant grows in the soil.
Die Falle,"trap, latch",noun,Die Maus ist in die Falle gegangen.,The mouse went into the trap.
Die Familie,family,noun,Meine Familie ist groß.,My family is big.
Die Farbe,"colour, color",noun,Welche Farbe magst du?,Which color do you like?
Die Feder,"feather, spring",noun,Die Feder eines Vogels ist leicht.,The feather of a bird is light.
Die Flagge,"flag, ensign",noun,Die Flagge weht im Wind.,The flag waves in the wind.
Die Flasche,"bottle, flask",noun,Die Flasche ist leer.,The bottle is empty.
Die Fliege,"fly, bow tie",noun,Eine Fliege sitzt auf dem Tisch.,A fly is sitting on the table.
Die Flut,"flood, flood-tide",noun,Die Flut kommt schnell.,The flood comes quickly.
Die Folge,"sequence, episode",noun,Die Folge der Zahlen ist logisch.,The sequence of numbers is logical.
Die Form,"form, shape",noun,Die Form ist rund.,The shape is round.
Die Frage,"question, issue",noun,Ich habe eine Frage.,I have a question.
Die Frau,"woman, wife",noun,Die Frau liest ein Buch.,The woman is reading a book.
Die Frucht,"fruit, crop",noun,Die Frucht ist reif und süß.,The fruit is ripe and sweet.
Die Furcht,fear,noun,Sie hat Furcht vor der Dunkelheit.,She has a fear of the dark.
Die Gabel,fork,noun,Bitte gib mir eine Gabel.,Please give me a fork.
Die Gattung,"genus, genre",noun,Die Gattung ist selten.,The genus is rare.
Die Geschichte,"history, story",noun,Geschichte ist mein Lieblingsfach.,History is my favorite subject.
Die Gesellschaft,"society, company",noun,Wir leben in einer modernen Gesellschaft.,We live in a modern society.
Die Gewalt,"violence, power",noun,Gewalt ist keine Lösung.,Violence is not a solution.
Die Grube,"pit, grave",noun,Die Grube ist tief.,The pit is deep.
Die Gruppe,"group, unit",noun,Die Gruppe arbeitet zusammen.,The group works together.
Die Gurke,"cucumber, gherkin",noun,Die Gurke ist frisch.,The cucumber is fresh.
Die Hafenstadt,port,noun,Hamburg ist eine Hafenstadt.,Hamburg is a port.
Die Haltestelle,stop,noun,Der Bus hält an der Haltestelle.,The bus stops at the stop.
Die Hand,hand,noun,Gib mir deine Hand.,Give me your hand.
Die Handlung,"plot, action",noun,Die Handlung des Buches ist spannend.,The plot of the book is exciting.
Die Haut,"skin, hide",noun,Die Haut schützt den Körper.,The skin protects the body.
Die Heimat,"homeland, home",noun,Deutschland ist meine Heimat.,Germany is my homeland.
Die Hilfe,"help, aid",noun,Ich brauche Hilfe.,I need help.
Die Hochzeit,"wedding, golden age",noun,Die Hochzeit findet im Juni statt.,The wedding takes place in June.
Die Höhle,"cave, cavern",noun,Die Höhle ist dunkel.,The cave is dark.
Die Idee,idea,noun,Ich habe eine Idee.,I have an idea.
Die Insel,"island, isle",noun,Wir machen Urlaub auf einer Insel.,We are vacationing on an island.
Die Kartoffel,potato,noun,Ich esse gern Kartoffeln.,I like to eat potatoes.
Die Katze,"cat, feline",noun,Die Katze schläft auf dem Sofa.,The cat is sleeping on the sofa.
Die Kaulquappe,"tadpole, polliwog",noun,Die Kaulquappe schwimmt im Teich.,The tadpole swims in the pond.
Die Kette,"chain, warp",noun,Sie trägt eine goldene Kette.,She wears a golden chain.
Die Kirche,"church, kirk",noun,Die Kirche steht im Zentrum der Stadt.,The church is in the center of the city.
Die Kirsche,cherry,noun,Die Kirsche ist rot.,The cherry is red.
Die Kiste,"box, coffer",noun,No examples available.,
Die Klamotte,"farce, big",noun,Das ist eine Klamotte.,That is a farce.
Die Klappe,"flap, mouth",noun,Die Klappe ist offen.,The flap is open.
Die Klasse,"class, excellence",noun,Die Klasse ist laut.,The class is noisy.
Die Kohle,"coal, money",noun,Die Kohle brennt im Ofen.,The coal burns in the oven.
Die Kraft,"force, power",noun,Er hat viel Kraft.,He has a lot of power.
Die Kreuzung,"crossroads, intersection",noun,An der Kreuzung musst du links abbiegen.,"At the intersection, you have to turn left."
Die Krone,"crown, head",noun,Die Königin trägt eine goldene Krone.,The queen wears a golden crown.
Die Kugel,"sphere, bullet",noun,Die Kugel rollt über den Tisch.,The sphere rolls across the table.
Die Kuh,cow,noun,Die Kuh steht auf der Wiese.,The cow is standing in the meadow.
Die Kunst,"art, skill",noun,Kunst kann viele Formen haben.,Art can take many forms.
Die Kälte,"cold, coldness",noun,No examples available.,
Die Königin,queen,noun,Die Königin regiert das Land.,The queen rules the country.
Die Ladung,"load, charge",noun,Die Ladung ist schwer.,The load is heavy.
Die Lage,"position, location",noun,Die Lage des Hotels ist sehr gut.,The position of the hotel is very good.
Die Leber,liver,noun,Die Leber ist ein wichtiges Organ.,The liver is an important organ.
Die Leiche,"corpse, cadaver",noun,Die Leiche wurde gefunden.,The corpse was found.
Die Leiste,"groin, strip",noun,Er hat Schmerzen in der Leiste.,He has pain in his groin.
Die Leistung,"power, benefit",noun,Die Leistung des Motors ist hoch.,The power of the engine is high.
Die Leitung,"leadership, line",noun,Die Leitung des Projekts hat Frau Müller.,Ms. Müller has the leadership of the project.
Die Libelle,"dragonfly, barrette",noun,No examples available.,
Die Liebe,"love, affection",noun,Liebe ist das schönste Gefühl.,Love is the most beautiful feeling.
Die Linie,"line, file",noun,Ziehe eine gerade Linie auf das Papier.,Draw a straight line on the paper.
Die Luft,"air, atmosphere",noun,Frische Luft ist gesund.,Fresh air is healthy.
Die Lüge,"lie, falsehood",noun,Das ist eine Lüge.,That is a lie.
Die Macht,"power, might",noun,Er hat viel Macht.,He has a lot of power.
Die Mark,"marrow, mark",noun,Das Mark ist gesund.,The marrow is healthy.
Die Mauer,wall,noun,No examples available.,
Die Maus,mouse,noun,Die Maus läuft schnell über den Boden.,The mouse runs quickly across the floor.
Die Medizin,"medicine, drug",noun,Die Medizin hilft gegen Schmerzen.,The medicine helps against pain.
Die Menge,"set, quantity",noun,Eine große Menge Leute war da.,A large crowd of people was there.
Die Messe,"mass, fair",noun,Die Messe beginnt um zehn Uhr.,The mass starts at ten o'clock.
Die Miete,"rent, rental",noun,Die Miete ist teuer.,The rent is expensive.
Die Milch,"milk, milt",noun,Ich trinke jeden Morgen Milch.,I drink milk every morning.
Die Muschel,"mussel, clam",noun,Am Strand habe ich eine schöne Muschel gefunden.,I found a beautiful shell on the beach.
Die Musik,music,noun,Musik macht mich glücklich.,Music makes me happy.
Die Mutter,"mother, nut",noun,Meine Mutter ist freundlich.,My mother is friendly.
Die Möwe,"gull, seagull",noun,Die Möwe fliegt über das Meer.,The gull flies over the sea.
Die Nacht,night,noun,Gute Nacht!,Good night!
Die Nase,"nose, nase",noun,Ich habe eine große Nase.,I have a big nose.
Die Natur,nature,noun,Die Natur ist schön.,Nature is beautiful.
Die Note,"note, grade",noun,Ich habe eine gute Note in Mathe bekommen.,I got a good grade in math.
Die Null,"zero, cipher",noun,Null ist die Mitte.,Zero is the middle.
Die Nummer,number,noun,Wie ist deine Nummer?,What is your number?
Die Nuss,"nut, hazelnut",noun,Die Nuss ist hart.,The nut is hard.
Die Orange,"orange, sweet orange",noun,Die Orange ist saftig und süß.,The orange is juicy and sweet.
Die Ordnung,"order, tidiness",noun,Alles ist in Ordnung.,Everything is in order.
Die Person,person,noun,Jede Person hat Rechte.,Every person has rights.
Die Pfeife,"pipe, whistle",noun,Er raucht eine Pfeife.,He smokes a pipe.
Die Pflanze,plant,noun,Die Pflanze braucht Wasser und Licht.,The plant needs water and light.
Die Prüfung,"exam, examination",noun,Ich habe morgen eine Prüfung.,I have an exam tomorrow.
Die Puppe,"pupa, puppet",noun,Das Kind spielt mit einer Puppe.,The child plays with a doll.
Die Quelle,"spring, source",noun,Die Quelle sprudelt im Wald.,The spring bubbles in the forest.
Die Rechnung,"bill, invoice",noun,Kann ich die Rechnung bitte haben?,"Can I have the bill, please?"
Die Regel,"rule, period",noun,Jede Regel muss beachtet werden.,Every rule must be observed.
Die Reihe,"series, row",noun,Die Bücher stehen in einer Reihe.,The books are in a row.
Die Reihenfolge,order,noun,Die Reihenfolge ist wichtig.,The order is important.
Die Revision,"change, appeal",noun,Die Revision ist notwendig.,The change is necessary.
Die Rinde,"bark, rind",noun,Die Rinde des Baumes ist rau.,The bark of the tree is rough.
Die Rolle,"role, pulley",noun,Sie hat eine wichtige Rolle.,She plays an important role.
Die Ruhe,"rest, tranquility",noun,Ich genieße die Ruhe am Morgen.,I enjoy the tranquility in the morning.
Die Rückseite,"back, reverse",noun,Die Rückseite ist leer.,The back is empty.
Die Sache,"thing, business",noun,Das ist eine wichtige Sache.,That is an important thing.
Die Sahne,"cream, whipped cream",noun,Die Sahne ist süß.,The cream is sweet.
Die Sau,"sow, pig",noun,Die Sau frisst im Stall.,The sow eats in the stable.
Die Schachtel,box,noun,Die Schachtel ist leer.,The box is empty.
Die Schale,"peel, skin",noun,Sie schält die Schale ab.,She removes the peel.
Die Schere,"claw, scissors",noun,Die Schere ist scharf.,The scissors are sharp.
Die Schicht,"layer, shift",noun,Die Torte hat drei Schichten Sahne.,The cake has three layers of cream.
Die Schlange,"snake, serpent",noun,Die Schlange schlängelt sich durch das Gras.,The snake slithers through the grass.
Die Schleife,"loop, bow",noun,Sie macht eine Schleife ins Band.,She makes a loop in the ribbon.
Die Schnecke,"snail, slug",noun,Die Schnecke kriecht langsam über den Weg.,The snail crawls slowly across the path.
Die Schrift,"script, typeface",noun,Die Schrift auf dem Schild ist groß.,The script on the sign is large.
Die Schuld,"debt, guilt",noun,Er hat Schulden.,He has debts.
Die Schule,"school, shoal",noun,Die Schule beginnt um acht Uhr.,School starts at eight o'clock.
Die Schweiz,Switzerland,noun,Die Schweiz ist ein schönes Land.,Switzerland is a beautiful country.
Die Schwester,"sister, nurse",noun,Meine Schwester ist jünger als ich.,My sister is younger than me.
Die Schönheit,"beauty, belle",noun,Die Schönheit der Natur ist beeindruckend.,The beauty of nature is impressive.
Die Seele,"soul, sound post",noun,Die Seele ist unsterblich.,The soul is immortal.
Die Seite,"side, page",noun,Das Auto steht auf der linken Seite.,The car is on the left side.
Die Sekunde,second,noun,Warte eine Sekunde.,Wait a second.
Die Sonne,"sun, Sun",noun,Die Sonne scheint.,The sun is shining.
Die Spalte,"column, crack",noun,Die Spalte in der Wand ist neu.,The crack in the wall is new.
Die Sprache,"language, speech",noun,Deutsch ist meine Muttersprache.,German is my native language.
Die Spur,"track, trace",noun,Die Spur führt ins Gebirge.,The track leads into the mountains.
Die Stadt,"city, town",noun,Berlin ist eine große Stadt.,Berlin is a big city.
Die Stelle,"job, place",noun,Ich suche eine neue Stelle.,I am looking for a new job.
Die Stellung,"position, function",noun,Er hat eine hohe Stellung in der Firma.,He has a high position in the company.
Die Stimme,"voice, vote",noun,Ihre Stimme klingt wunderschön.,Her voice sounds beautiful.
Die Straße,"street, road",noun,Die Kinder spielen auf der Straße.,The children are playing on the street.
Die Stunde,"hour, lesson",noun,Eine Stunde hat sechzig Minuten.,An hour has sixty minutes.
Die Säure,acid,noun,No examples available.,
Die Tafel,"blackboard, chalkboard",noun,Der Lehrer schreibt an die Tafel.,The teacher writes on the blackboard.
Die Tasche,"pocket, bag",noun,Meine Tasche ist schwer.,My bag is heavy.
Die Tasse,"cup, mug",noun,Ich trinke Kaffee aus der Tasse.,I drink coffee from the cup.
Die Taube,"pigeon, dove",noun,Die Taube fliegt weg.,The pigeon flies away.
Die Tochter,"daughter, girl",noun,Meine Tochter geht zur Schule.,My daughter goes to school.
Die Toilette,"lavatory, toilet",noun,Wo ist die Toilette?,Where is the toilet?
Die Träne,"tear, teardrop",noun,No examples available.,
Die Uhr,"clock, watch",noun,Es ist zehn Uhr.,It is ten o'clock.
Die Unterbrechung,"interruption, break",noun,Die Unterbrechung war kurz.,The interruption was short.
Die Unterlage,"base, pad",noun,Die Unterlage ist weich.,The pad is soft.
Die Unterstützung,support,noun,Danke für die Unterstützung.,Thank you for the support.
Die Verfügung,"order, disposition",noun,Die Verfügung ist rechtskräftig.,The order is legally binding.
Die Vergangenheit,"past, past tense",noun,Er spricht oft über seine Vergangenheit.,He often talks about his past.
Die Veränderung,"change, changing",noun,No examples available.,
Die Vorstellung,"idea, notion",noun,Ich habe eine Vorstellung von der Zukunft.,I have an idea of the future.
Die Wand,"wall, barrier",noun,Die Wand ist frisch gestrichen.,The wall is freshly painted.
Die Welle,"wave, shaft",noun,No examples available.,
Die Welt,"world, Earth",noun,Die Welt ist groß.,The world is big.
Die Woche,week,noun,Ich arbeite fünf Tage in der Woche.,I work five days a week.
Die Wolke,cloud,noun,Am Himmel ist eine große Wolke.,There is a big cloud in the sky.
Die Wurzel,"root, square root",noun,Die Wurzel der Pflanze ist lang.,The root of the plant is long.
Die Wüste,"desert, wasteland",noun,Die Wüste ist heiß und trocken.,The desert is hot and dry.
Die Zahl,"number, figure",noun,Die Zahl sieben ist meine Lieblingszahl.,The number seven is my favorite number.
Die Zeile,line,noun,Bitte schreibe eine Zeile.,Please write a line.
Die Zeit,"time, tide",noun,Ich habe keine Zeit.,I have no time.
Die Zelle,"cell, basic item",noun,Die Zelle ist klein.,The cell is small.
Die Ziege,"goat, bag",noun,Die Ziege klettert auf den Felsen.,The goat climbs the rock.
Die Zunge,tongue,noun,Die Zunge schmeckt süß.,The tongue tastes sweet.
Die Zwei,two,noun,Es gibt zwei Äpfel.,There are two apples.
Die Änderung,"change, alteration",noun,No examples available.,
Entschuldigung,"apology, excuse",other,"Entschuldigung, ich bin zu spät.","Sorry, I am late."
Hammer,"hammer, malleus",other,Mit dem Hammer schlägt er den Nagel ein.,He drives the nail in with the hammer.
Keks,"biscuit, cookie",other,Ich esse gern einen Keks zum Tee.,I like to eat a biscuit with tea.
Leute,"people, persons",other,Viele Leute sind auf der Straße.,Many people are on the street.
Mensch,"human, human being",other,Der Mensch ist neugierig.,The human is curious.
Mist,"dung, manure",other,Der Bauer bringt Mist auf das Feld.,The farmer spreads manure on the field.
Monat,month,other,Ein Monat hat 30 Tage.,A month has 30 days.
Sie,"you, she",pronoun,Wie heißen Sie?,What is your name? (formal you)
Waise,"orphan, orphan rhyme",other,Sie ist eine Waise.,She is an orphan.
abbauen,"mine, dismantle",verb,Sie bauen Kohle ab.,They mine coal.
abbiegen,"turn, bend",verb,An der Kreuzung musst du rechts abbiegen.,"At the intersection, you must turn right."
abbinden,"untie, undo",verb,Sie bindet das Seil ab.,She unties the rope.
abbrechen,"abort, stop",verb,Ich muss das Spiel abbrechen.,I have to abort the game.
aber,"but, again",conjunction,"Ich mag Kaffee, aber ich trinke lieber Tee.","I like coffee, but I prefer to drink tea."
abgehen,"leave, disappear",verb,No examples available.,
abheben,"withdraw, cut",verb,Ich muss Geld abheben.,I need to withdraw money.
abkommen,"descend, be descended",verb,Er kommt vom Weg ab.,He descends from the path.
abkühlen,cool,verb,Die Suppe muss abkühlen.,The soup needs to cool.
ablaufen,"expire, start",verb,Die Zeit läuft ab.,The time is expiring.
ablegen,"sail, put down",verb,Das Schiff legt ab.,The ship sets sail.
abnehmen,"decrease, take away",verb,Die Temperaturen werden abnehmen.,The temperatures will decrease.
abschließen,"end, lock",verb,Bitte die Tür abschließen.,Please lock the door.
abschreiben,"copy, plagiarize",verb,Sie schreibt die Antwort ab.,She copies the answer.
abtreiben,"abort, expel",verb,Sie treibt das Schiff ab.,She aborts the ship.
abzeichnen,"copy, draw",verb,Sie zeichnet das Bild ab.,She copies the picture.
acht,eight,other,Acht Kinder spielen im Garten.,Eight children are playing in the garden.
achten,"respect, watch",verb,Sie achtet ihre Eltern.,She respects her parents.
als,"than, when",other,Er ist größer als ich.,He is taller than me.
alt,"old, aged",other,Mein Großvater ist alt.,My grandfather is old.
amtlich,official,other,Das ist eine amtliche Mitteilung.,That is an official notice.
an,"on, to",preposition,Das Bild hängt an der Wand.,The picture hangs on the wall.
anderer,"other, different",other,Ich habe einen anderen Plan.,I have another plan.
anders,"different, distinct",other,Heute ist das Wetter anders.,The weather is different today.
anführen,lead,verb,Er wird die Gruppe anführen.,He will lead the group.
angehen,"concern, tackle",verb,Das geht mich nichts an.,That does not concern me.
angreifen,"attack, affect",verb,Der Löwe greift an.,The lion attacks.
anhalten,"stop, last",verb,Der Bus muss an der Haltestelle anhalten.,The bus has to stop at the bus stop.
anlassen,"temper, start",verb,Er lässt das Auto an.,He starts the car.
anläuten,"give a ring, give a call",verb,No examples available.,
anmachen,"turn on, switch on",verb,Kannst du das Licht anmachen?,Can you turn on the light?
annehmen,"assume, accept",verb,Ich nehme das Geschenk an.,I accept the gift.
anordnen,order,verb,Ich ordne die Bücher an.,I order the books.
anrufen,"call, ring",verb,Ich werde dich morgen anrufen.,I will call you tomorrow.
anschaulich,"clear, graphic",other,Die Erklärung ist anschaulich.,The explanation is clear.
ansehen,"watch, look at",verb,Sie sehen sich die Nachrichten an.,They are watching the news.
anstecken,"infect, contract",verb,Er kann mich mit der Grippe anstecken.,He can infect me with the flu.
antelefonieren,"ring, call",verb,Ich werde morgen antelefonieren.,I will call tomorrow.
anziehen,"attract, put on",verb,Blumen ziehen Bienen an.,Flowers attract bees.
arbeiten,"work, function",verb,Ich arbeite im Büro.,I work in the office.
arm,"poor, needy",other,"Er ist arm, aber glücklich.",He is poor but happy.
auf,"on, open",preposition,Das Buch liegt auf dem Tisch.,The book is on the table.
aufbrechen,"set off, break open",verb,Wir brechen morgen früh auf.,We set off early tomorrow.
aufgehen,"rise, open",verb,Die Sonne geht am Morgen auf.,The sun rises in the morning.
aufhalten,"stay, stop",verb,Ich möchte nicht länger hier aufhalten.,I don't want to stay here any longer.
aufhören,"stop, cease",verb,Kannst du bitte aufhören?,Can you please stop?
aufmachen,"open, make for a place",verb,Sie macht die Tür auf.,She opens the door.
aufnehmen,"record, absorb",verb,Ich nehme das Gespräch auf.,I record the conversation.
aufschlagen,open,verb,No examples available.,
aufstellen,"post, train",verb,Wir stellen das Zelt auf.,We set up the tent.
auftauchen,"emerge, show",verb,Ein Fisch taucht aus dem Wasser auf.,A fish emerges from the water.
auftreten,"appear, perform",verb,Er tritt heute als Sänger auf.,He is performing as a singer today.
aufziehen,"raise, tease",verb,Sie zieht ihre Kinder allein auf.,She raises her children alone.
augenblicklich,"now, present",other,Komm augenblicklich hierher!,Come here now!
auseinanderbrechen,"break, break up",verb,Das Glas kann auseinanderbrechen.,The glass can break.
aushalten,"bear, endure",verb,Ich kann den Lärm nicht aushalten.,I can't bear the noise.
auslassen,"omit, leave out",verb,Sie lässt das Wort aus.,She omits the word.
ausmachen,"constitute, put out",verb,Kannst du das Licht ausmachen?,Can you turn off the light?
ausruhen,rest,verb,Nach der Arbeit ruhe ich mich aus.,"After work, I rest."
aussetzen,"expose, suspend",verb,Sie setzt die Pflanze der Sonne aus.,She exposes the plant to the sun.
ausstehen,"bear, stand",verb,Ich kann das nicht ausstehen.,I can't bear that.
ausziehen,"undress, take off",verb,Ich muss meine Jacke ausziehen.,I have to take off my jacket.
bedecken,"cover, bespread",verb,Sie bedeckt den Tisch mit einem Tuch.,She covers the table with a cloth.
bedeuten,"mean, signify",verb,Was bedeutet dieses Wort?,What does this word mean?
befreien,"free, liberate",verb,Sie befreien den Vogel aus dem Käfig.,They free the bird from the cage.
beherrschen,"master, dominate",verb,Er beherrscht die Sprache.,He masters the language.
